Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
8.974663019180298	0	7.0	3.681787	15.0	4.0	7.0	3.681787005729087	63	63
9.181305885314941	1	15.833333	13.969213	46.0	4.0	15.833333333333334	13.969212178533509	95	158
9.234785079956055	2	23.0	8.485281	35.0	17.0	23.0	8.48528137423857	69	227
9.307046890258789	3	31.5	17.5	49.0	14.0	31.5	17.5	63	290
9.376095056533813	4	31.5	24.5	56.0	7.0	31.5	24.5	63	353
9.436060905456543	5	32.0	1.0	33.0	31.0	32.0	1.0	64	417
9.520508050918579	6	73.0	0.0	73.0	73.0	73.0	0.0	73	490
9.594429969787598	7	38.5	9.5	48.0	29.0	38.5	9.5	77	567
9.657665014266968	8	35.0	6.0	41.0	29.0	35.0	6.0	70	637
9.770544052124023	9	36.666668	25.69479	73.0	18.0	36.666666666666664	25.69478978746902	110	747
9.918184995651245	10	95.0	0.0	95.0	95.0	95.0	0.0	95	842
10.02835988998413	11	58.0	9.0	67.0	49.0	58.0	9.0	116	958
10.124582052230835	12	52.5	10.5	63.0	42.0	52.5	10.5	105	1063
10.217626094818115	13	107.0	0.0	107.0	107.0	107.0	0.0	107	1170
10.302964925765991	14	108.0	0.0	108.0	108.0	108.0	0.0	108	1278
10.566946029663086	15	106.0	0.0	106.0	106.0	106.0	0.0	106	1384
10.755554914474487	16	97.0	0.0	97.0	97.0	97.0	0.0	97	1481
10.8317289352417	17	21.666666	12.918549	39.0	8.0	21.666666666666668	12.918548250050733	65	1546
10.88778305053711	18	81.0	0.0	81.0	81.0	81.0	0.0	81	1627
10.984623908996582	19	91.0	0.0	91.0	91.0	91.0	0.0	91	1718
11.092570066452026	20	115.0	0.0	115.0	115.0	115.0	0.0	115	1833
11.168521881103516	21	78.0	0.0	78.0	78.0	78.0	0.0	78	1911
11.275464057922363	22	68.5	12.5	81.0	56.0	68.5	12.5	137	2048
11.322016954421997	23	66.0	0.0	66.0	66.0	66.0	0.0	66	2114
11.429318904876709	24	52.5	2.5	55.0	50.0	52.5	2.5	105	2219
11.48886489868164	25	74.0	0.0	74.0	74.0	74.0	0.0	74	2293
11.585422039031982	26	74.0	0.0	74.0	74.0	74.0	0.0	74	2367
11.694040060043335	27	60.5	3.5	64.0	57.0	60.5	3.5	121	2488
11.76164698600769	28	77.0	0.0	77.0	77.0	77.0	0.0	77	2565
11.857686042785645	29	58.5	0.5	59.0	58.0	58.5	0.5	117	2682
11.970776081085205	30	56.5	16.5	73.0	40.0	56.5	16.5	113	2795
12.067226886749268	31	77.0	0.0	77.0	77.0	77.0	0.0	77	2872
12.234752893447876	32	114.5	54.5	169.0	60.0	114.5	54.5	229	3101
12.353368997573853	33	83.0	52.0	135.0	31.0	83.0	52.0	166	3267
12.404017925262451	34	63.0	0.0	63.0	63.0	63.0	0.0	63	3330
12.515728950500488	35	58.5	8.5	67.0	50.0	58.5	8.5	117	3447
12.57347297668457	36	28.0	2.1602468	30.0	25.0	28.0	2.160246899469287	84	3531
12.708427906036377	37	79.5	28.5	108.0	51.0	79.5	28.5	159	3690
12.805091857910156	38	120.0	0.0	120.0	120.0	120.0	0.0	120	3810
12.884494066238403	39	41.5	17.5	59.0	24.0	41.5	17.5	83	3893
13.00431489944458	40	80.0	25.0	105.0	55.0	80.0	25.0	160	4053
13.102885961532593	41	134.0	0.0	134.0	134.0	134.0	0.0	134	4187
13.294924020767212	42	302.0	0.0	302.0	302.0	302.0	0.0	302	4489
13.434850931167603	43	160.0	0.0	160.0	160.0	160.0	0.0	160	4649
13.551923036575317	44	132.0	0.0	132.0	132.0	132.0	0.0	132	4781
13.681847095489502	45	153.0	0.0	153.0	153.0	153.0	0.0	153	4934
13.77904200553894	46	124.0	0.0	124.0	124.0	124.0	0.0	124	5058
13.889340877532959	47	115.0	0.0	115.0	115.0	115.0	0.0	115	5173
13.993268966674805	48	126.0	0.0	126.0	126.0	126.0	0.0	126	5299
14.107034921646118	49	154.0	0.0	154.0	154.0	154.0	0.0	154	5453
14.205704927444458	50	130.0	0.0	130.0	130.0	130.0	0.0	130	5583
14.34455394744873	51	192.0	0.0	192.0	192.0	192.0	0.0	192	5775
14.514371871948242	52	261.0	0.0	261.0	261.0	261.0	0.0	261	6036
